Food,Kezayis Quantity,Kezayis Weight (g),Category
Bagel,1/10 of a bagel,13 grams,
Challah Roll,1/9 of a roll,5 grams,
Matzah,Slightly less than 1/2 a matzah,15 grams,
Onion Roll,1/10 of a roll,6 grams,
Pita Bread,1/4 of a pita,12 grams,
Pizza,1/8 of a slice,,
Rye Bread,1/2 of a slice,10 grams,
White Bread,1/3 of a slice,8 grams,
