Food,Kezayis Quantity,Kezayis Weight (g),Category
Endives,"2 large leaves, 3 medium leaves, 4 small leaves",,Maror
Ground Horseradish,1 ounce,,Maror
Romaine lettuce,"1 large leaf, 2 medium leaves, 5 small leaves",,Maror
Achilas Matzah,,28.5 grams,Matzah
Korech,,16.5 grams,Matzah
Afikoman,,21 grams,Matzah
